step,loss,ema_loss,val_loss,lr,tokens_per_sec
9260,1.995402,1.753065,,0.00003439,2111.64
9280,1.527777,1.768818,,0.00003425,2106.03
9300,1.642386,1.730839,,0.00003410,2092.24
9320,1.718076,1.790023,,0.00003395,2097.08
9340,1.624256,1.778022,,0.00003381,2123.68
9360,1.633842,1.774356,,0.00003366,2137.28
9380,1.526975,1.728844,,0.00003352,2134.83
9400,1.936833,1.791137,3.200531,0.00003337,2112.86
9420,1.701815,1.714613,,0.00003322,2098.07
9440,1.485409,1.751637,,0.00003308,2126.39
9460,1.849642,1.736576,,0.00003293,2111.83
9480,1.361403,1.699626,,0.00003279,2119.03
9500,1.602448,1.743938,,0.00003264,2133.28
9520,1.835798,1.744495,,0.00003250,2106.62
9540,1.337438,1.750824,,0.00003235,2136.60
9560,1.669554,1.730673,,0.00003221,2106.92
9580,1.455274,1.765844,,0.00003206,2077.08
9600,1.621150,1.786860,3.208481,0.00003192,2129.48
9620,2.045120,1.818973,,0.00003177,2100.70
9640,1.808527,1.804666,,0.00003163,2090.44
9660,1.355597,1.678383,,0.00003148,2123.78
9680,1.631865,1.719550,,0.00003134,2055.05
9700,2.182705,1.788038,,0.00003119,2115.86
9720,1.922533,1.817247,,0.00003105,2116.20
9740,1.380897,1.820402,,0.00003091,2086.43
9760,1.818238,1.798154,,0.00003076,2136.26
9780,1.851991,1.868717,,0.00003062,2099.32
9800,2.213600,1.920513,3.018927,0.00003048,2094.03
9820,2.080243,1.829259,,0.00003033,2096.84
9840,2.115730,1.809182,,0.00003019,2112.47
9860,1.545343,1.725365,,0.00003005,2116.32
9880,1.766203,1.770141,,0.00002990,2121.93
9900,1.899562,1.818234,,0.00002976,2097.66
9920,2.072746,1.821876,,0.00002962,2097.17
9940,1.247990,1.715981,,0.00002947,2113.86
9960,1.663634,1.751500,,0.00002933,2098.58
9980,1.793081,1.743333,,0.00002919,2125.00
10000,2.059838,1.799592,3.786911,0.00002905,2101.74
10020,1.941610,1.737469,,0.00002890,2098.65
10040,1.725713,1.783809,,0.00002876,2100.42
10060,1.825542,1.829356,,0.00002862,2107.98
10080,1.581636,1.800372,,0.00002848,2076.73
10100,1.936992,1.728575,,0.00002834,2110.77
10120,1.952196,1.696726,,0.00002820,2079.83
10140,1.795756,1.765336,,0.00002805,2111.03
10160,1.628711,1.751531,,0.00002791,2094.79
10180,1.937721,1.777577,,0.00002777,2108.31
10200,1.249958,1.760049,2.739479,0.00002763,2091.15
10220,1.819006,1.755901,,0.00002749,2093.33
10240,2.271795,1.830069,,0.00002735,2125.43
10260,1.685144,1.781058,,0.00002721,2142.49
10280,1.447623,1.768148,,0.00002707,2097.57
10300,1.452222,1.745925,,0.00002693,2116.24
10320,1.770442,1.708932,,0.00002679,2103.25
10340,1.233262,1.778669,,0.00002665,2094.60
10360,1.937266,1.772788,,0.00002651,2058.89
10380,1.556655,1.771120,,0.00002637,2138.77
10400,1.327428,1.778838,2.392914,0.00002624,2115.22
10420,1.814546,1.803353,,0.00002610,2091.78
10440,1.999681,1.763520,,0.00002596,2116.74
10460,1.839677,1.742707,,0.00002582,2129.27
10480,1.467049,1.791477,,0.00002568,2127.29
